Name,RA_Simbad,DEC_Simbad
RT Car                                                                       ,10 44 47.1477509492,-59 24 48.123186340
IY UMa,10 43 56.7486759841,+58 07 31.917125704
DO Leo,10 40 51.2355803268,+15 11 33.699245065
OGLE GD-DN-6                          ,10 39 47.75        ,-62 55 29.4        
NOVA Car 1971                                                                       ,10 39 47.1288823338,-63 14 07.263868320
J1039.7-0507                                                           ,10 39 46.9916449426,-05 06 58.312159372
NOVA Car 1972                                                       ,10 38 22.51        ,-63 08 29.4        
RX Cha,10 36 26.2129524414,-80 02 47.984552237
SDSS J103533.02+055158.4                                                            ,10 35 33.0223106272,+05 51 58.347085513
SS LMi,10 34 05.4294697831,+31 08 08.318271239
DW UMa,10 33 52.8751166936,+58 46 54.719916520
CRTS J103148.0+085224                                                                       ,10 31 47.9859767176,+08 52 24.362815598
NOVA Car 1953                                                       ,10 31 19.18        ,-59 58 24.7        
EP Car                                                       ,10 28 23.24        ,-58 57 58.7        
RX And,10 28 00.0805743180         ,+21 48 13.569556154
WX LMi,10 26 27.4935083792,+38 45 02.654772807
ASAS J102522-1542.4                                            ,10 25 22.21        ,-15 42 21.7        
SDSS J102517.94+430221.2                                                                       ,10 25 17.9438233314,+43 02 21.228980432
U Leo,10 24 03.8630865145,+14 00 25.194372102
PSR J1023+0038                                                                       ,10 23 47.6840307966,+00 38 41.006983532
PB   195                                                           ,10 23 20.2784770865,+44 05 09.857060154
HD  90177                                                                       ,10 22 53.8426931454,-59 37 28.361118869
V383 Vel                                                       ,10 21 41.76        ,-49 49 23.7        
KS UMa,10 20 26.5187197673,+53 04 33.088109985
RU Peg,10 19 56.6224113828,-08 41 56.104268706
NSV 18378                                                    ,10 19 04.3         ,-57 11 08          
CI UMa,10 18 13.0031632699,+71 55 42.969649121
[WWS2006] NGC 3201 22                                                       ,10 17 50.54        ,-46 21 32.9        
[WWS2006] NGC 3201 26                                                       ,10 17 36.00        ,-46 24 19.5        
[WWS2006] NGC 3201 23                                                       ,10 17 15.63        ,-46 22 54.1        
[WWS2006] NGC 3201 16                                                       ,10 17 04.28        ,-46 18 50.9        
V381 Vel,10 16 59.0109340871,-41 03 44.236779893
KO Vel,10 15 58.35        ,-47 58 10.8        
CP Dra,10 15 39.84        ,+73 26 05.0        
GG Leo,10 15 34.6778640025,+09 04 41.987298295
SW Sex,10 15 09.3650789592,-03 08 32.962346997
USNO-A2.0 1350-07734381                                                            ,10 13 23.6381611816,+45 58 58.890587883
1SDSS J101037.05+024915.0                                                         ,10 10 37.056       ,+02 49 14.92       
SDSS J100932.15-020154.5                                                                       ,10 09 32.1510975097,-02 01 54.627287748
RX J1007.5-2017                                                            ,10 07 34.6534874108,-20 17 32.448845919
CH UMa,10 07 00.7219578828,+67 32 47.507173639
OY Ara,10 06 22.0792108747,-70 14 04.582997921
PG 1002+506                                                                       ,10 05 29.2926374652,+50 20 39.282343391
LN UMa,10 04 34.7251695494,+66 29 15.049578615
1RXS J100211.4-192534                                            ,10 02 11.71        ,-19 25 37.5        
RU Hor,10 02 07.4602027762,+33 51 00.228092586
KR UMa                                                                       ,10 01 27.7289183920,+55 53 28.483504408
OQ Car                                                                       ,09 55 58.4754475581,-68 09 41.510252742
RX J0953.1+1458                                                            ,09 53 08.2017555838,+14 58 36.451478681
RZ LMi,09 51 48.9263455186,+34 07 23.968904524
SDSS J095135.21+602939.6                                                                       ,09 51 35.2108004225,+60 29 39.575458482
X Leo,09 51 01.4656610861,+11 52 31.249937999
AG Hya,09 50 29.7536535380,-23 45 17.377164386
PG 0947+036                                                                       ,09 49 40.3675717632,+03 24 25.468096470
2MASS J09492014+3555432                                                                       ,09 49 20.1313541788,+35 55 43.421057554
ER UMa,09 47 11.9407998149,+51 54 08.950836060
DV UMa,09 46 36.5963748517,+44 46 44.685642641
HY Leo                                                           ,09 46 34.4705286598,+13 50 57.849294677
VZ Sex                                                           ,09 44 31.6824200550,+03 58 05.308838856
CRTS J094325.8+520128                                                                       ,09 43 25.8915930939,+52 01 28.813151806
HM Leo                                                           ,09 38 36.9804409754,+07 14 55.125230984
NOVA Leo 1612                                                 ,09 37 19           ,+15 13.2           
SDSS J093423.39+403808.9                                                                       ,09 34 23.3933421815,+40 38 09.002551379
US  691                                                            ,09 32 49.5713658688,+47 25 22.831369981
1SDSS J093238.21+010902.5                                                                       ,09 32 38.1951282905,+01 09 02.492041583
QS UMa                                                            ,09 32 14.8307143747,+49 50 54.691403932
TU Leo                                                                       ,09 29 50.6001080736,+21 22 52.467011521
MN Dra,09 29 07.10        ,-24 05 05.4        
LB 10776                                                    ,09 28 45.0         ,+23 11 00          
YZ LMi                             ,09 26 38.7243250350,+36 24 02.463164875
MR Ser,09 25 46.0017213799,-47 58 17.339989324
HS 0922+1333                                         ,09 24 56.1         ,+13 20 52          
HU Leo                                                           ,09 24 44.4786024744,+08 01 51.005758948
SDSS J092229.26+330743.6                                                            ,09 22 29.2584761465,+33 07 43.557757662
SDSS J092219.55+421256.7                                                                       ,09 22 19.5510954623,+42 12 56.699376465
AR Cnc,09 22 07.5640315319,+31 03 14.425158782
BK Lyn,09 20 11.2020573736,+33 56 42.355127908
V524 Hya                                                           ,09 20 09.5447841303,+00 42 44.929595126
LV Cnc                                                           ,09 19 45.1186719328,+08 57 10.093562334
2MASS J09193569+5028261                                                       ,09 19 35.70        ,+50 28 26.2        
DT Pyx                                           ,09 18 58.50        ,-29 42 37.0        
HH Cnc,09 16 50.7589764777,+28 49 43.276908671
GZ Cnc,09 15 51.6412261580,+09 00 49.218211411
1H 1025+220,09 14 14.0304327709,-06 47 44.778666536
DI UMa,09 12 16.1938983103,+50 53 53.959796825
[BSL2001] J091204.5334-645147.956                                                           ,09 12 04.5334      ,-64 51 47.956      
[BSL2001] J091202.4740-645154.027                                                           ,09 12 02.4740      ,-64 51 54.027      
[BSL2001] J091202.3610-645138.715                                                           ,09 12 02.3610      ,-64 51 38.715      
SDSS J091127.36+084140.8                                                            ,09 11 27.3580054409,+08 41 40.828381212
GY Cnc,09 09 50.5407240020,+18 49 47.429782142
NSV  4394                                                       ,09 09 38.25        ,+44 46 34.2        
SDSS J090628.24+052656.9                                                       ,09 06 28.17        ,+05 26 57.8        
V406 Hya                                                           ,09 05 54.7498123851,-05 36 08.482127031
FV Lyn                                                                       ,09 04 52.0984303027,+44 02 55.478005489
T Pyx,09 04 41.5062068236,-32 22 47.503345173
SDSS J090403.49+035501.2                                                            ,09 04 03.4823723892,+03 55 01.263363222
SDSS J090350.72+330036.1                                                            ,09 03 50.7257811462,+33 00 36.110240022
BI Lyn                                                                       ,09 03 19.4275296265,+39 51 00.497866777
BP Lyn,09 03 08.8824258597,+41 17 47.563345120
CRTS J090210.2-113032                                          ,09 02 10.2502337822,-11 30 31.706907097
PU UMa                                                           ,09 01 03.9388708186,+48 09 11.066389137
SY Cnc,09 01 03.3196276716,+17 53 56.031352233
US 2109                                                            ,09 00 16.5562070547,+43 01 18.208328066
VZ Pyx,08 59 19.8386846907,-24 28 55.256214912
RX J0859.1+0537                                                            ,08 59 09.1822368473,+05 36 54.593134878
CQ Vel,08 58 50.99,-53 20 17.8
CU Vel,08 58 33.0345432876,-41 47 51.730674304
SDSS J085623.00+310834.0                                                                       ,08 56 23.0068965547,+31 08 33.966061128
AK Cnc,08 55 21.1858057127,+11 18 15.081700252
FR Lyn                                                           ,08 54 14.0231231038,+39 05 37.359025189
BZ UMa,08 53 44.1734051661,+57 48 40.595271757
SY Vol                                                                       ,08 53 25.9464282661,-71 12 48.179687707
EU Cnc,08 51 27.1761643646,+11 46 56.989331964
CT Hya,08 51 07.3935336495,+03 08 34.358028477
FV Cnc                                                                       ,08 48 01.7387992440,+18 40 37.644471641
CRTS J084627.7+243516,08 46 27.73,+24 35 16.9
AC Cnc,08 44 27.1122164614,+12 52 31.996499274
V495 Hya                                                           ,08 44 00.0999462325,+02 39 19.342163373
EG Cnc,08 43 03.9868348725,+27 51 49.696061650
2MASS J08405414+0455193                                                       ,08 40 54.15        ,+04 55 19.1        
SDSS J084026.16+220446.6                                                                       ,08 40 26.1642107354,+22 04 46.659356505
RX Vol,08 39 32.06        ,-66 17 39.5        
SDSS J083931.35+282824.0                                                            ,08 39 31.3501118388,+28 28 24.129672850
2MASS J08384911-4831248                                          ,08 38 49.1087130822,-48 31 24.816483698
CRTS J083845.2+491055                                                            ,08 38 45.2311912417,+49 10 55.359053445
EI UMa,08 38 21.9952271575,+48 38 02.163591536
SDSS J083751.00+383012.5                                                            ,08 37 51.0095164361,+38 30 12.602634939
AA Cnc,08 37 22.8426904942,+26 12 24.166425417
BB Vel                                                       ,08 36 49.32        ,-47 22 37.4        
SW UMa,08 36 42.7494852536,+53 28 37.976353343
CC Cnc,08 36 19.1533490816,+21 21 05.425763569
DE Cnc                                                                       ,08 35 27.2344421450,+19 45 30.634247066
WX Pyx,08 33 05.7636195407,-22 48 31.980759704
FBS B  974                                                                       ,08 32 45.6585452382,+73 37 07.746833827
AT Cnc,08 28 36.9271145666,+25 20 03.045657226
Z Cam,08 25 13.1988897787,+73 06 39.284432670
SDSS J082457.15+073702.4                                                       ,08 24 57.15        ,+07 37 02.4        
FL Lyn                                                           ,08 24 09.7316329684,+49 31 24.523891717
BH Lyn,08 22 36.0477126559,+51 05 24.558776170
EG Lyn                                           ,08 20 50.97        ,+49 34 31.3        
SDSS J081610.84+453010.2                                                            ,08 16 10.8307314609,+45 30 10.153132163
IX Vel,08 15 18.9691696308,-49 13 20.669663769
VV Pup,08 15 06.8010742098,-19 03 17.765651066
2MASS J08135201+2813174                                                            ,08 13 52.0201694679,+28 13 17.306979394
DY Pup,08 13 48.4784220644,-26 33 56.768935057
FH Lyn                                                           ,08 13 21.9188365207,+45 28 09.273481995
2MASS J08125686+1911579                                                            ,08 12 56.8553628239,+19 11 57.850155371
SU UMa,08 12 28.2694633475,+62 36 22.428029272
CP Pup,08 11 46.0634990913,-35 21 04.986286529
V351 Pup,08 11 38.38        ,-35 07 30.4        
YZ Cnc,08 10 56.6513272947,+28 08 33.259393864
CD-48  3547                                                                       ,08 10 06.0741097949,-49 14 18.081413767
HS 0805+3822                                                            ,08 09 08.3947719363,+38 14 06.205726674
SBSS 0804+563                                                                       ,08 08 55.3798543425,+56 15 03.407661100
2MASS J08084617+3131060                                                            ,08 08 46.1919353816,+31 31 05.975366719
NOVA Gem 1856                                                    ,08 07 47.0         ,+30 50 54          
Z Cha,08 07 27.7421647579,-76 32 00.679589237
HM Cnc                                                           ,08 06 22.9519582696,+15 27 31.007381265
SDSS J080534.49+072029.1                                          ,08 05 34.4949748212,+07 20 29.138670568
EZ Lyn                                                           ,08 04 34.2191501584,+51 03 49.367636054
V516 Pup,08 03 45.5996781096,-47 48 44.149249572
HZ Pup,08 03 22.8479474796,-28 28 28.558173892
CRTS J080304.0+251628                                                            ,08 03 03.9047463572,+25 16 26.965288678
KUV 07589+4019                                                            ,08 02 15.3895673817,+40 10 47.127548717
L  242-83 A                                                                       ,08 02 00.1881009368,-53 27 50.821889322
SDSS J080142.37+210345.8                                                                       ,08 01 42.3598641923,+21 03 45.557722831
SDSS J075939.79+191417.3                                                            ,07 59 39.7852238802,+19 14 17.253277417
SBSS 0755+600                                                                       ,07 59 26.3928102943,+59 53 51.261372381
NOVA Pup 1673                                                 ,07 59 01           ,-43 49.1           
DW Cnc,07 58 53.0399476790,+16 16 45.171023042
HT Cam,07 57 01.3365989918,+63 06 02.000878897
U Gem,07 55 05.2323858391,+22 00 05.045435077
EV Lyn                                                           ,07 54 43.0104255518,+50 07 29.098229723
BX Pup,07 54 15.5733881689,-24 19 36.403959122
HS Pup,07 53 24.8921254615,-31 38 50.564073397
V716 Mon                                                                       ,07 52 43.6005213777,-10 42 45.344197669
EU Lyn                                                           ,07 52 40.4514761660,+36 28 23.199330756
PQ Aql,07 51 17.3278781437,+14 44 23.875020784
2MASS J07493723+8844290                                                                       ,07 49 37.6199480129,+88 44 28.847475268
RX J0749.1-0549                                                            ,07 49 10.4005922206,-05 49 25.454295289
BV Pup,07 49 05.2533774977,-23 34 00.394950823
V434 Gem                                                           ,07 48 13.5314790521,+29 05 09.080036744
2MASS J07471676+4248492                                                                       ,07 47 16.7981646356,+42 48 49.044882387
CRTS J074640.6+173412                                                            ,07 46 40.6201925625,+17 34 12.804051705
UY Pup,07 46 31.2401198871,-12 57 08.996922824
2MASS J07461711-1611276                                          ,07 46 17.1149366031,-16 11 27.683142955
EQ Lyn                                                           ,07 45 31.9386690165,+45 38 29.743181853
V436 Car,07 44 57.9398160725,-52 57 13.721724167
SDSS J074355.56+183834.8                                                       ,07 43 55.56        ,+18 38 34.8        
2MASS J07420823-1049326                                          ,07 42 08.2376218233,-10 49 32.483811064
V574 Pup,07 41 53.76        ,-27 06 36.9        
2MASS J07381772+2855198                                                            ,07 38 17.7420530768,+28 55 19.725068801
V445 Pup,07 37 56.8797662756,-25 56 58.836792684
V482 Cam                                                           ,07 33 41.4125399360,+67 32 15.629885096
V667 Pup                          ,07 32 37.64        ,-13 31 09.3        
2MASS J07323341+7241408                                                                       ,07 32 33.4038117710,+72 41 40.845578908
BG CMi,07 31 29.0080158732,+09 56 23.029183793
KQ Mon,07 31 21.1284371667,-10 21 49.397867880
SV CMi,07 31 08.4042331850,+05 58 48.370510663
CL Pup,07 30 02.9631220828,-19 29 54.044726138
V654 Aur                                                           ,07 29 10.6854718145,+36 58 38.246414854
HM Aur                                                                       ,07 29 06.8005808099,+40 40 57.623508548
V496 Aur,07 27 52.23        ,+40 46 52.5        
GI Mon,07 26 47.1066355111,-06 40 29.706608941
AW Gem,07 22 41.0         ,+28 30 17          
IN CMa                                                                       ,07 20 47.9110068282,-31 47 02.732886173
HS Cam,07 19 14.5151105423,+65 57 44.305352490
WZ CMa                                                                       ,07 18 49.1938777958,-27 07 43.170467936
FQ Mon,07 16 41.24        ,-06 56 48.5        
AQ CMi,07 14 34.79        ,+08 48 05.5        
V348 Pup,07 12 32.9098616258,-36 05 38.581905875
WY CMa                                                                       ,07 11 40.1688505775,-26 58 40.328935037
HQ Mon,07 11 33.7380961867,+00 52 06.663908220
HD 54738,07 10 08.0,+02 55 23
EU CMa                                                       ,07 05 40.28        ,-16 08 44.4        
LW Cam,07 04 10.0271008898,+62 03 27.946830538
V418 Gem                                                           ,07 04 08.6690661945,+26 25 10.767757487
CG CMa,07 04 05.0455191574,-23 45 34.639857254
V838 Mon                                                                       ,07 04 04.8222936785,-03 50 50.637499515
MV Gem                                                       ,07 00 53.33        ,+12 51 20.6        
NOVA Gem 1892                                                    ,06 58 45.0         ,+17 02 11          
EQ Mon                                                                       ,06 57 37.1916828576,-09 48 02.824828263
DN Gem,06 54 54.3492892481,+32 08 27.924684752
KZ Gem,06 53 02.7465565509,+16 39 49.897905665
RX J0649.8-0737                                                            ,06 49 50.9207107367,-07 37 40.884089066
EQ CMa                                          ,06 48 51.6213909302,-16 18 03.696526737
IR Gem,06 47 34.6826729749,+28 06 22.335444864
CRTS J064729.3+495027                                          ,06 47 29.3046498963,+49 50 26.956012994
HS 0642+5049                                                            ,06 46 19.6075225843,+50 45 49.209645333
KT Gem                                                                       ,06 45 21.2058753589,+19 04 47.362964751
HL CMa,06 45 17.2108904787,-16 51 34.545309152
2MASS J06443435+3344566                                          ,06 44 34.3633612200,+33 44 56.612364643
DM Gem,06 44 12.05        ,+29 56 41.9        
RX J0643.9-2052                                                         ,06 43 59.100       ,-20 52 34.50       
BT Mon,06 43 47.2416393083,-02 01 13.877487108
PT And,06 40 47.6858436938,-24 23 13.891973670
SY Gem,06 40 39.1326199767,+31 10 55.213713936
UGPS J063938.60+055352.9                          ,06 39 38.60        ,+05 53 52.9        
UV Gem,06 38 44.0         ,+18 16 12          
CW Mon,06 36 54.5809874602,+00 02 17.285853925
V647 Aur                                        ,06 36 32.5         ,+35 35 43          
RX J0636.3+6554                                                                       ,06 36 22.8780733204,+65 54 15.003939973
KN Gem,06 35 51.55,+26 52 58.0
RR Cha,06 35 36.0633947411,-62 38 24.292758747
UCAC3 232-65219                                          ,06 32 13.1150519827,+25 36 22.893634415
CI Gem,06 30 05.86        ,+22 18 50.7        
1RXS J062954.6-033520                       ,06 29 54.6         ,-03 35 20          
BZ Cam,06 29 33.9598585876,+71 04 36.392469723
V902 Mon                                          ,06 27 46.4046306073,+01 48 11.028424272
NOVA Mon 1942                                                       ,06 25 18.46        ,+05 26 31.7        
MU Cam                                                           ,06 25 16.2520524762,+73 34 39.104874988
CZ Ori,06 16 43.2247028462,+15 24 11.297178349
KR Aur,06 15 43.9180386147,+28 35 08.574183087
V344 Ori,06 15 18.9472237531,+15 30 59.371221828
V552 Aur                                                                       ,06 14 09.8145366634,+45 30 08.507135280
SS Aur,06 13 22.4341940496,+47 44 25.346818461
HQ Gem                                                    ,06 12 04.4         ,+25 28 34          
AH Men,06 11 43.95        ,-81 49 22.7        
NSV  2853                                                                       ,06 10 43.9692448262,+25 10 31.292234709
V347 Pup,06 10 33.6585438847,-48 44 25.363237509
LAWDS NGC 2168  53                                                    ,06 07 33.8         ,+24 07 55          
AD Men,06 04 30.8368654322,-71 25 22.016320218
HM Gem                                                    ,06 03 09.0         ,+25 14 49          
[BTR99] J060033.2-270919                                                       ,06 00 33.24        ,-27 09 18.4        
2MASS J06000201+7751311                                                                       ,06 00 02.0350456472,+77 51 31.359060967
NOVA Ori 1667                                                                      ,05 58 20.1459511355,+20 15 45.348138439
LU Cam,05 58 17.8723907014,+67 53 46.054564955
V405 Aur,05 57 59.2933859041,+53 53 44.925664551
LS Cam,05 57 23.9921745249,+72 41 52.428040517
AH Pic,05 57 12.5506063614,-59 35 25.935039541
CN Ori,05 52 07.7840511235,-05 25 00.542923401
AR Pic                                                           ,05 49 45.4109090575,-49 21 56.300586603
2MASS J05482289+2242014                                                                      ,05 48 22.9061138473,+22 42 01.675946700
FS Aur,05 47 48.3599787736,+28 35 11.208489049
CAL 87,05 46 48.3,-71 09 24
BC Dor                                                           ,05 46 14.9654006956,-68 35 23.810406150
2XMM J054333.8-682220                          ,05 43 34.18        ,-68 22 22.0        
TX Col,05 43 20.17        ,-41 01 54.3        
BY Cam,05 42 48.8013255299,+60 51 31.375887904
NOVA LMC 2009 a                          ,05 40 44.20        ,-66 40 11.6        
TW Pic,05 34 50.5864710889,-58 01 40.767221479
V363 Aur,05 33 33.4591303805,+36 59 32.474128763
V391 Cam                                                           ,05 32 33.8649195608,+62 47 52.125642480
T Aur,05 31 59.1179548200,+30 26 45.033734428
UW Pic,05 31 35.6477522850,-46 24 04.963331426
V650 Ori                                                                      ,05 31 08.8189310722,+09 45 27.476971716
BB Dor,05 29 28.5850788827,-58 54 46.184997516
TV Col,05 29 25.5292527066,-32 49 03.900974253
V1159 Ori,05 28 59.5675682576,-03 33 52.283089971
QY Per,05 28 34.0777158013,+33 18 21.777186372
2MASS J05274893-6954244,05 27 48.9303842833,-69 54 24.559633992
IC  418                                                                      ,05 27 28.2060343141,-12 41 50.282659007
NOVA LMC 1995                          ,05 26 50.15        ,-70 01 26.4        
Paloma                                                            ,05 24 30.4642271134,+42 44 50.461233137
BI Ori,05 23 51.7715783164,+01 00 30.625511962
GR Ori,05 21 35.20        ,+01 10 08.6        
NOVA LMC 1999                                                      ,05 19 55.79        ,-70 27 53.4        
XX Tau,05 19 24.467       ,+16 43 01.02       
2MASS J05181432+2941130                                          ,05 18 14.3299034009,+29 41 13.040844763
V1193 Ori,05 16 26.6715179335,-00 12 14.309520962
V1309 Ori,05 15 41.4123841919,+01 04 40.479107028
NOVA LMC 1926                                                   ,05 14 58.0         ,-66 50 12          
UU Pic                                                      ,05 14 25.56        ,-52 53 52.0        
SHV  5682                            ,05 13 50.809       ,-69 51 47.30       
HS 0506+7725                                                            ,05 13 36.5689890507,+77 28 42.782067452
UU Col,05 12 13.2336376173,-32 41 39.746182397
AQ Men,05 07 53.7702497214,-79 51 23.049476569
RX J0507.1-6743                                                   ,05 07 12.1         ,-67 43 11          
HS 0455+8315                                                            ,05 06 48.2812301031,+83 19 23.253989917
AQ Eri,05 06 13.1059762610,-04 08 07.248206468
2MASS J05033846+2624046                                                        ,05 03 38.470       ,+26 24 04.65       
RX J0502.8+1624                                                                      ,05 02 50.9492670264,+16 24 21.841652258
V1062 Tau,05 02 27.4781389386,+24 45 23.157011296
HY Eri,05 01 46.4090493582,-03 59 20.568882497
OGLE LMC-ECL-5149                                                      ,05 01 08.23        ,-69 28 15.2        
OGLE J050108.08-692813.0                                                      ,05 01 07.98        ,-69 28 12.8        
V1208 Tau,04 59 44.0381486341,+19 26 22.808295939
MACHO  17.2832.2606                                                      ,04 57 42.21        ,-69 40 30.6        
2MASS J04570832+4527499                                          ,04 57 08.3212242261,+45 27 50.008910311
NOVA LMC 2012                                          ,04 54 56.8518115718,-70 26 56.398795412
RR Pic,04 53 25.46        ,-42 13 39.6        
HV Aur,04 53 16.8649892043,+38 16 28.616887807
NSV  1725                                                                      ,04 49 54.1717884892,+40 32 30.759191330
V392 Per                                                                      ,04 43 21.3695136330,+47 21 25.869039434
FY Per,04 41 56.6368873281,+50 42 36.032055618
TU Men,04 41 40.7062108407,-76 36 45.940466299
BF Eri,04 39 29.9447987640,-04 35 58.869484952
TV Ret                                                      ,04 35 40.80        ,-59 15 24.1        
NOVA Cam 1980                                                      ,04 31 15.41        ,+58 45 07.9        
IW Eri                                           ,04 25 55.24        ,-19 45 30.1        
RX J0425.6-5714                                                            ,04 25 38.6075199684,-57 14 36.210122720
IM Eri,04 24 41.1074015967,-20 07 11.759672063
V342 Cam                                                           ,04 23 32.8345501088,+74 52 50.037845263
AH Eri,04 22 38.1233693310,-13 21 30.442167682
IRAS 04183+1619                                                                      ,04 21 12.1493786484,+16 26 16.767282479
NS Per                                                      ,04 18 44.50        ,+51 07 30.7        
XZ Eri,04 11 25.76        ,-15 23 24.3        
VW Hyi,04 09 11.3966476826,-71 17 41.555169342
MY Per,04 09 11.2663783272,+48 22 05.301497658
HE 0409-3029                                                   ,04 09 00.0         ,-30 29 00          
FO Per,04 08 34.9796294203,+51 14 48.144043712
LT Eri                                                           ,04 07 14.7816713667,-06 44 25.164770630
VX Ret                                                                      ,04 04 05.7137588929,-57 53 26.359864116
V1296 Tau                                                                      ,04 03 06.5778437439,+04 44 14.484543345
V1294 Tau                                                           ,04 00 37.2550232837,+06 22 45.917064376
2MASS J03541032-1652499                                                            ,03 54 10.3094205046,-16 52 50.035258866
V1212 Tau,03 51 56.99        ,+25 25 27.6        
MR Per                                                      ,03 50 46.91        ,+48 12 37.1        
NOVA Per 1853                                                   ,03 47 06.3         ,+34 19 18          
OV Tau                                                                      ,03 46 06.2672781690,+29 41 14.733709203
2MASS J03451159+5335144                                          ,03 45 11.5880626604,+53 35 14.667430988
V701 Tau,03 44 01.9         ,+21 57 08          
V1209 Tau                                                                      ,03 43 13.8410061798,+24 05 09.476106977
CW Cam                                                                      ,03 43 00.2819542114,+57 33 56.042865841
SZ For                                                      ,03 41 19.99        ,-26 36 21.1        
UZ For,03 35 28.6515678221,-25 44 21.765602833
[RRW93] P83l-57                                                                      ,03 34 34.3246528495,-64 00 57.112838486
SDSS J033328.47-000553.5                                                                      ,03 33 28.4809026446,-00 05 53.557268531
CTCV J0333-4451,03 33 20.6,-44 51 42
AF Cam,03 32 15.4984110287,+58 47 22.147947191
Lan 302,03 32 07.0,+54 36 09
VY For,03 32 04.6047173996,-25 56 55.056342110
2MASS J03313145+4356484                                                                      ,03 31 31.4519637863,+43 56 48.392272693
GK Per,03 31 12.0096626899,+43 54 15.467450081
CXOAYSB J033108.3+435751.4                                                      ,03 31 08.28        ,+43 57 51.4        
[ZGH2005] XS00650B7-015                                                                      ,03 31 08.2089458352,+43 57 50.418505534
VX For,03 26 45.71        ,-34 26 25.2        
SV Ari,03 25 03.57        ,+19 49 53.9        
2XMM J032253.8+413702                                                      ,03 22 53.88        ,+41 37 02.2        
V336 Per                                                                      ,03 22 53.8609139565,+41 37 01.367898634
FT Cam,03 21 14.3230017125,+61 05 26.574473964
NOVA Ari 1855                                                   ,03 20 45.1         ,+28 57 14          
NOVA Tri 1853                                                        ,03 19 06.802       ,+35 29 36.38       
QW Ser,03 15 36.8424615163,+42 28 14.099194935
EF Eri,03 14 13.2527107604,-22 35 42.917018996
EUVE J0311-22.9,03 11 20.7,-22 54 47
KY Eri                                             ,03 10 51.666       ,-07 55 00.29       
CP Eri,03 10 32.76        ,-09 45 05.3        
FBS 0306+333                                                                      ,03 09 13.4604439880,+33 31 26.955228869
V400 Per,03 07 38.12        ,+47 07 38.9        
HV Cet,03 05 59.0,+05 47 15
PN HFG    1                                                                      ,03 03 47.0096103383,+64 54 35.516249865
GN 02.53.5                                                ,02 57 22           ,+60 41.3           
LW Cas                                                                      ,02 57 21.5884156714,+60 41 19.655208326
V372 Per                                                      ,02 56 39.66        ,+37 08 23.5        
XY Ari,02 56 08.185       ,+19 26 34.12       
IQ Eri                                                      ,02 55 37.94        ,-22 47 02.3        
SY For                                                                      ,02 53 14.4071888359,-37 46 14.981857389
VW For                                                      ,02 52 51.33        ,-30 37 43.5        
V502 Cas,02 52 25.7,+58 46 03
PG 0248+054                                                                      ,02 51 17.7050827116,+05 37 47.470990311
DX Oct                                                                      ,02 50 25.3703634359,-87 30 22.421664399
LEDA  138543                                                   ,02 50 03.1         ,+01 09 30          
PX And,02 50 00.1476660428,+37 39 22.197391211
NOVA Ari 1854                                                   ,02 48 30.0         ,+17 21 47          
WX Ari,02 47 36.2221981356,+10 35 37.723110379
V368 Per,02 47 32.70        ,+34 58 27.4        
RS Car,02 46 07.4997231238,-63 35 46.264828062
V872 Per                                                                      ,02 46 02.3481043031,+34 55 08.167737651
UW Tri,02 45 17.29        ,+33 31 26.3        
BB Ari                                                           ,02 44 57.7772421826,+27 31 09.180502936
PG 0240+066                                                                      ,02 42 53.4173821500,+06 47 45.545449262
PU Per,02 42 53.4034529327,+38 04 03.299011716
PT Per                                                                      ,02 42 51.1945409972,+56 41 31.253917327
AY For                                        ,02 42 34.8         ,-28 02 43          
PU CMa,02 42 16.16        ,+35 40 46.6        
NOVA Per 1937                                                   ,02 42 09.1         ,+43 21 08          
WW Hor,02 36 11.45        ,-52 19 13.5        
HS 0229+8016                                                            ,02 35 58.2098796678,+80 29 44.284972887
WISE J023540.41-132111.1                                                      ,02 35 40.42        ,-13 21 11.2        
NSV   870                                                                      ,02 35 40.4127842505,-13 21 11.214653867
KW And                                                                      ,02 35 17.9793128607,+41 14 02.245533581
HP Cet                                                           ,02 33 22.6016893265,+00 50 59.597993967
HO Cet                                        ,02 33 21.4         ,-10 47 05          
CW Hyi                                                           ,02 30 51.1492190239,-68 42 05.439635529
NOVA Per 1873                                                      ,02 29 37.09        ,+52 25 40.5        
OY Car,02 29 29.5674908029,+40 02 39.816740823
AM Cas,02 26 23.3508133676,+71 18 31.618402316
FS And                                                                      ,02 25 55.0450294232,+37 34 05.290297875
RW Sex,02 25 36.1555561414,+28 05 50.893091344
WY Tri,02 25 00.47        ,+32 59 55.8        
HS 0220+0603                                                            ,02 23 01.6664832410,+06 16 49.638525927
[VV96] J022239.9-193247                                                                      ,02 22 39.8992081429,-19 32 47.405952188
NSV   786                                                                      ,02 22 22.6225216707,+78 54 37.781867572
V572 And                                           ,02 22 16.40        ,+41 22 59.9        
HS 0218+3229                                          ,02 21 33.4824740036,+32 43 23.887860593
LX And,02 19 44.0899770654,+40 27 22.333965884
AX For                                                           ,02 19 27.9953475569,-30 45 45.819085100
KV And,02 17 13.81        ,+40 41 30.8        
TZ Per,02 13 50.9628232047,+58 22 52.309133551
UW Per                                                      ,02 12 29.59        ,+57 05 19.7        
UV Per,02 10 08.2724810517,+57 11 20.870511174
