GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
Ser,15:55:31.99,-00:10:55.0,0.00841,0.0039,-0.00888,0.00389,1999214,9,38,cv,,,,19.4s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J155531-001055,,,,,,,,,,,
Ser,15:56:44.23,-00:09:50.3,0.00057,0.0039,-0.0011,0.00389,1999214,9,38,ug,0.07408,,,14.7c-18.1s,2006-22,2006-22,2005-49,A9999-99,2002-05S,2004-10,SDSSp J155644-000950,,,,,,,,,,,
QZ Ser,15:56:54.48,+21:07:19.0,0.00083,0.0039,-0.00806,0.00389,2004366,35,47,ug,0.083161,,,12.7p-<14.9p,2006-22,2006-22,2002-22,2002-22,2002-22X:,2002-115,HadV4,,Y,,,,,,,,,
CrB,15:56:56.92,+35:23:36.6,-6,0.00286,5,0.00286,2003402,57,50,cv,0.08917,,,18.4g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,2006-05,SDSS J155656+352336,,,,,,,,,,,
T CrB,15:59:30.16,+25:55:12.6,-0.0062,0.0006,0.0115,0.0006,2000,42,48,nra,227.5687,,,2.0p-11.3p,2004-105,2004-105,1987-22,1987-08,1983-12S,2000-103,BD +26 2765,Y,,,,,,,,,,
VW CrB,16:00:03.70,+33:11:14.1,0.00762,0.0039,-0.02821,0.00389,2003406,53,49,ugsu,,,,14.0p-<17.5b,2006-22,2006-22,1997-31,1996-05,1999-08X,*,CrB1, Antipin V21,,,,,,,,,,
Nor,16:00:47.43,-48:46:07.6,,,,,,332,3,ugwz,,,,12.6V-,2005-53,,2006-07,A9999-99,,*,ASAS 160048-4846.2,,,,,,,,,,,
Ser,16:01:11.53,+09:17:12.7,-13,0.00468,6,0.00468,2003408,20,42,cv,,,,20.1g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J160111+091712,,,,,,,,,,,
Her,16:04:50.19,+41:43:28.6,-0.00172,0.0039,-0.00503,0.00389,2002351,66,48,nl,,,,17.7s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J160450+414328,,,,,,,,,,,
V345 Nor,16:06:44.59,-52:03:01.9,,,,,,,,non-cv,,1985.,,- ,,,1987-08*,,,,NSV 7429,,,,,,,,,,,
CrB,16:07:45.02,+36:23:20.7,3,0.00278,-12,0.00278,2003323,58,48,nl,,,,18.1g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J160745+362320,,,,,,,,,,,
Ser,16:10:07.51,+03:52:33.0,14,4,-4,4,2000,16,37,am,0.1322,,,15.9V- ,2006-22,2003-115,2002-118,1998-23,2000-80S,2002-19,1RXS J161008+035222,,,,,,,Y,,,,
Her,16:10:30.35,+44:59:01.7,-0.06928,0.0039,-0.04408,0.00389,2001373,71,47,cv,,,,19.8s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J161030+445901,,,,,,,,,,,
Ser,16:10:33.61,-01:02:22.9,-18,1,-0.01,1,2000,11,34,cv,0.05592,,,19.1s-,2003-115,2003-115,2002-05,A9999-99,2002-05S,2004-07,SDSSp J161033-010223,,Y,,,,,,,,,
V794 Sco,16:11:03.69,-09:50:37.7,-0.0124,5,-0.0117,5,2000,3,29,UG:,,,,16.0p-17.3p,1987-28,1987-28,T00000*,A9999-99*,,,Plaut 1-53,,,,,,,,,,,
Ser,16:13:04.4,+01:21:24.4,,,,,,14,35,cv,,,,17.5c-20.4R,2005-39,,2005-39,2005-39*,2005-39X,,ROTSE3 J161304,,,,,,,,,,,
Oph,16:13:30.82,-05:18:38.6,,,,,,7,31,n:,,1893.,,11.5p-21j,C00003,,1987-08,1987-08:*,,,NSV 7542,,,,,,,,,,,
Ser,16:13:32.56,-00:03:31.1,-0.02264,0.0039,0.00272,0.00389,1999214,12,34,ug:,,,,15.2R-18.6s,2006-22,2006-22,2001-72,A9999-99,2002-05S,,SDSSp J161332-000331,,,,,,,,,,,
V341 Nor,16:13:44.4,-53:19:08.,,,,,,330,-2,n:,,1983.72,,9.4v-<17j,C00003,,1987-08,1987-08:*,1983-17X:,,,,,,,,,,,,,
UMi1,16:14:23.39,+70:58:18.3,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,FBS 1614+711,,,,,,,,,,,
V893 Sco,16:15:14.98,-28:37:32.1,-0.0548,0.0047,-0.0677,0.0047,2000,348,16,ug,0.075962,,,10.6p-14.5p,2004-105,2004-105,1998-38,1998-38,1999-14S,2000-62,SVS 1772,,Y,,,,,Y,,,,
Sco,16:16:59.8,-22:58:18.0,,,,,,353,19,ug,,,G,19.0x-22.0x,2005-92,,2005-92,2005-92*,,,NGC 6093-CX5,,Y,,,,,,,,,
Sco,16:17:01.60,-22:58:28.0,,,,,,353,19,cv:,,,G,-,2003-80,,2003-80*,,,,NGC 6093-CX3,,Y,,,,,,,,,
Sco,16:17:02.01,-22:58:33.0,,,,,,353,19,cv:,,,G,-,2003-80,,2003-80*,,,,NGC 6093-CX4,,Y,,,,,,,,,
Sco,16:17:02.10,-22:58:31.8,,,,,,353,19,cv:,,,G,-,2003-80,,2003-80*,,,,NGC 6093-CX15,,Y,,,,,,,,,
Sco,16:17:02.2,-22:58:37.9,,,,,,353,19,ug,,,G,19.5x-21.5x,2005-92,,2005-92,2005-92,,,NGC 6093-CX17,,Y,,,,,,,,,
Sco,16:17:02.58,-22:58:36.5,,,,,,353,19,cv:,,,G,-,2003-80,,2003-80*,,,,NGC 6093-CX2,,Y,,,,,,,,,
T Sco,16:17:02.83,-22:58:31.3,,,,,,353,19,n:,,1860.39,G,7v-22.2B,1995-43,,1987-08,1995-43*,,,,,Y,,,,,,,,,
X Ser,16:19:17.71,-02:29:30.0,0.0007,5,-22,5,2000,11,31,nb:,1.48,1903.,,8.9p-18.3p,2004-106,2004-106,1987-08,1987-08,1983-12S,2000-77,HV 3137,Y,,,,,,,,,,
V382 Nor,16:19:44.74,-51:34:53.1,,,,,,332,-1,n,,2005.20,,8.9r-,2005-30,,2005-31,A9999-99*,2005-31X:,,Nova Normae 2005,,,,,,,,,,,
Her1,16:19:49.33,+14:53:11.1,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1617+150,,,,,,,,,,,
HP Nor,16:20:49.58,-54:53:23.0,-0.0056,0.0052,-0.0046,0.0052,2000,330,-3,ugz,,,,12.8v-16.4V,2004-105,2004-105,1982-03,1982-03,1998-03S,,HV 8865,,,,,,,,,,,
V589 Her,16:22:07.15,+19:22:36.7,0.00307,0.0039,-0.0101,0.00389,2004287,36,41,ugsu,,,,14.1p-<17.5p,2006-22,2006-22,2002-30,1982-03,1992-01S,*,S 10296,,,,,,,,,,,
CrB,16:22:12.45,+34:11:47.3,0.00252,0.0039,-0.04504,0.00389,2002348,55,45,cv,,,,19.2s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J162212+341147,,,,,,,,,,,
U Sco,16:22:30.81,-17:52:44.1,,,,,,358,22,nrb,1.230552,1863.,,8.8V-19.5V,ICRS,,1987-22,1987-08,1981-02S,2001-98,BD -17 4554,Y,Y,,,,,,,,,
Sco,16:23:34.13,-26:31:34.9,,,,,,351,16,cv,,,G,17.4V-,2004-05,,2004-05,2004-05,,,NGC 6121-CX1,,Y,,,,,,,,,
Sco,16:23:34.32,-26:30:39.3,,,,,,351,16,cv:,,,G,21.7V-,2004-05,,2004-05,2004-05*,,,NGC 6121-CX4,,Y,,,,,,,,,
Sco,16:23:46.40,-26:31:15.7,,,,,,351,16,qso/cv:,,,G,24.1V-,2004-05,,2005-29*,2004-05,,,NGC 6121-CX2,,Y,,,,,,,,,
PZ Nor,16:24:45.87,-57:14:04.2,,,,,,,,non-cv,,,,-,,,2003-34*,,,,S 5733,,,,,,,,,,,
V844 Her,16:25:01.75,+39:09:26.4,0.00234,0.0039,-0.0056,0.00389,2002436,62,44,ugsu,0.054643,,,12.5p-17.5p,2006-22,2006-22,1999-34,1996-08,,2002-108,Antipin V43,,Y,,,,,Y,,,,
V699 Oph,16:25:14.79,-04:40:25.8,16,3,-14,2,2000,10,29,ugsu,,,,13.8p-18.5p,2003-115,2003-115,2003-55,1958-03*,,*,HV 10577,,,,,,,,,,,
IK Nor,16:25:29.,-55:20:01.,,,,,,330,-4,ug,,,,12.9p-16.3p,ICRS,,1982-03,1982-03,1998-03S,,,,,,,,,,,,,
Her,16:26:08.16,+33:28:27.8,0.00226,0.0039,-0.00653,0.00389,2002351,55,44,am,,,,18.4s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J162608+332827,,,,,,,,,,,
TU Oph,16:26:39.22,-22:18:58.6,,,,,,,,non-cv,,,,- ,,,1982-03*,,,,HV 1068,,,,,,,,,,,
KQ Nor,16:27:33.16,-59:19:56.9,,,,,,,,non-cv,,,,- ,,,1998-03*,,,,S 5752,,,,,,,,,,,
Sco1,16:28:08.7,-38:48:43.,,,,,,342,7,cv:,,,G,16.8B-<19.6B,ICRS,,1991-11,1991-11,,,NGC 6139 V4,,,,,,,,,,,
Her,16:28:30.89,+24:02:59.1,-8,0.0037,0,0.0037,2003329,42,41,cv,,,,19.8g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J162830+240259,,,,,,,,,,,
UMi,16:29:23.49,+86:26:01.1,,,,,,,,non-cv,,,,- ,,,2000-35*,,,,NSV 7956,,,,,,,,,,,
Her,16:29:36.53,+26:35:19.6,-0.01082,0.0039,-0.00711,0.00389,2003192,45,42,am:,0.0847,,,19.3s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,2005-32,SDSS J162936+263519,,,,,,,,,,,
FL TrA,16:30:36.61,-61:50:21.0,,,,,,326,-9,ugsu,,,,15.3V-<17.0p,2006-07,,2006-07,A9999-99*,,*,S 5770,,,,,,,,,,,
V592 Her,16:30:56.45,+21:16:58.4,,,,,,39,40,ugwz,,1968.,,12.3p-<21p,ICRS,,1998-35,2001-11,2003-15S,*,S 10376,,,,,,,,,,,
UMi,16:30:59.1,+69:50:06.,,,,,,102,37,cv,,,,20.4V- ,1998-12,,1998-12,A9999-99*,,,RX J1630.9+6950,,,,,,,Y,,,,
Dra,16:31:25.84,+73:54:11.8,-0.01,2,-6,6,2000,107,35,cv,,,,18.3V- ,2003-115,2003-115,1998-12,A9999-99*,1998-12S:,,RX J1631.4+7354,,,,,,,Y,,,,
LR Nor,16:33:53.65,-56:27:59.3,,,,,,,,non-cv,,,,- ,,,1998-03*,,,,S 5796,,,,,,,,,,,
V849 Her,16:35:45.70,+11:24:58.1,-0.0075,0.0058,-0.0049,0.0062,2000,28,35,ug:,,,,15.0V- ,2004-105,2004-105,1994-49,1986-06,1993-10S,*,PG 1633+115,,,,,,,,,,,
Her,16:36:05.01,+46:52:04.5,,,,,,73,42,cv/ug:,,,,16.7s-,2003-22,,2003-22,A9999-99,2003-22S,,SDSS J163605+465205,,,,,,,,,,,
Oph,16:37:22.22,-00:19:57.3,,,,,,16,29,ug,,,,16.6s-20s,ICRS,,2002-05,A9999-99*,2002-05S,,SDSSp J163722-001957,,,,,,,,,,,
V544 Her,16:38:05.40,+08:37:58.4,14,3,-0.01,1,2000,25,33,ug,,,,14.5p-20p,2003-115,2003-115,1995-41,1982-03,2003-15S,*,S 9789,,,,,,,,,,,
OY Ara,16:40:50.27,-52:25:51.3,,,,,,334,-4,na,0.155466,1910.3,,6.0p-17.5p,C00003,,1987-08,1987-08*,1987-09S:,1997-56,HD 149990,,,,,,,,,,,
Her3,16:41:22.41,+33:44:53.2,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1639+338,,,,,,,,,,,
Her,16:41:43.68,+36:28:04.7,,,,,,59,41,cv:,,,G,22.1V- ,1997-14,,1997-14*,A9999-99,,,NGC 6205-23081,,Y,,,,,,,,,
Her,16:41:45.1,+36:27:39.,,,,,,59,41,cv:,,,G,21.0V- ,1997-14,,1997-14*,A9999-99*,,,NGC 6205-21429,,Y,,,,,,,,,
V610 Her,16:43:39.16,+22:31:25.4,,,,,,41,37,UG,,,,16.2p-<16.8p,ICRS,,T00000,1968-03*,,,S 10311,,,,,,,,,,,
Her,16:43:45.70,+34:02:39.6,-0.0022,1,-0.0118,0.0009,2000,56,40,nl,0.12056,,,12.6V-,2004-105,2004-105,2002-07,2002-07,2002-07S,2002-110,RX J1643.7+3402,,,,,,,Y,,,,
AH Her,16:44:10.01,+25:15:02.0,-6,0.0007,0.0033,0.0008,2000,45,38,ugz,0.258116,,,11.3v-14.7v,2004-105,2004-105,1987-20,1982-03,1983-12S,1986-22,SVS 32,Y,Y,,,Y,Y,Y,,,,
V611 Her,16:44:49.43,+19:59:40.0,-0.0063,0.0039,0.00493,0.00389,2003323,39,36,UG,,,,15.4p-<16.4p,2006-22,2006-22,T00000,1968-03*,,,S 10312,,,,,,,,,,,
AC Sco,16:46:45.91,-27:24:25.2,,,,,,,12,non-cv:,,,,12.5p-<16p,ICRS,,T00000*,1991-15,1995-16S,,HV 1095,,,,,,,,,,,
V663 Ara,16:46:57.71,-55:41:21.2,,,,,,332,-7,ugsu,,,,15.9p-<16.3p,2002-39,,2004-49*,1963-03,,,S 5893,,,,,,,,,,,
RW UMi,16:47:54.78,+77:02:12.2,,,,,,110,33,nb/ug,0.0591,1956.,,6p-18.5B,ICRS*,,1987-08/1994-35,1987-08,1992-01S,2000-73,SVS 1359,,Y,,,,,,,,,
AF Sco,16:50:25.58,-25:33:37.5,,,,,,,,non-cv,,,,- ,,,1995-23*,,,,HV 1108,,,,,,,,,,,
DV Sco,16:50:27.93,-28:07:58.6,,,,,,354,10,ugsu,,,,13.8B-<18.4B,ICRS,,2004-66,2003-59,,,HV 4225,,,,,,,,,,,
Her,16:52:44.84,+33:39:25.4,-0.00793,0.0039,-0.00411,0.00389,2002436,56,38,cv,,,,18.8s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J165244+333925,,,,,,,,,,,
Her,16:53:59.06,+20:10:10.4,3,0.00253,-17,0.00253,2003474,40,35,ugsu,,,,14.8V-17.5g,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J165359+201010,,,,,,,,,,,
V840 Oph,16:54:43.92,-29:37:26.8,,,,,,353,9,na:,,1917.32,,6.5p-19.3V,2003-67,,1987-08,2003-67*,2002-94S,,HV 3522,,,,,,,,,,,
Her,16:56:58.13,+21:21:39.3,0.00405,0.0039,-0.01847,0.00389,2003329,41,34,cv,,,,18.5s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J165658+212139,,,,,,,Y,,,,
Dra,16:57:26.55,+65:31:04.9,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1657+656,,,,,,,,,,,
Her,16:58:37.70,+18:47:27.4,-8,0.00275,18,0.00275,2003474,39,33,cv,,,,20.1g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J165837+184727,,,,,,,,,,,
V422 Ara,16:59:18.86,-61:43:30.9,,,,,,,,non-cv,,,,- ,,,1996-01*,,,,S 5989,,,,,,,,,,,
V841 Oph,16:59:30.37,-12:53:27.2,0.0026,0.0045,-12,0.0053,2000,8,18,nb,0.6014,1848.,,4.2v-13.5v,2004-105,2004-105,1987-08,1987-08,1983-12S,2003-39,BD -12 4633,Y,,,,Y,,Y,,,,
Her,16:59:51.69,+19:27:45.6,5,0.00248,-4,0.00248,2003471,39,33,nl,,,,16.8g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J165951+192745,,,,,,,,,,,
V433 Ara,17:00:06.06,-57:51:52.1,,,,,,331,-9,nl/ugz,0.19573,,,14.8p-<18.3v,ICRS,,2005-99,1963-03,,2005-99,S 6006,,,,,,,,,,,
V1195 Oph,17:00:21.68,-20:53:33.8,,,,,,1,13,ugsu,,,,16.3p-<20.1p,ICRS,,1999-33,1999-46*,,,Plaut 2-71,,,,,,,,,,,
Her,17:00:53.30,+40:03:57.7,0.00504,0.0039,-0.0206,0.00389,2000336,64,38,am,0.080802,,,19.4s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,2005-20,SDSS J170053+400358,,,,,,,Y,,,,
V1235 Oph,17:01:49.99,-20:21:00.5,-24,23,6,0,2000,2,13,n or uv,,1959.,,17.0p-<20.8p,2003-115,2003-115,1987-08,1987-08:*,,,Plaut 2-111,,,,,,,,,,,
Her,17:02:13.25,+32:29:54.2,0.02607,0.0039,-0.02229,0.00389,2001375,55,36,ugsu,0.1001,,,17.4V-19.1V,2006-22,2006-22,2005-94,A9999-99,2004-45S,2005-115,SDSS J170213+322954,,,,,,,,,,,
Her,17:02:44.09,+22:35:47.9,7,0.00284,-13,0.00284,2003323,43,33,cv,67,,,17.4g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,2006-05,SDSS J170244+223547,,,,,,,,,,,
V598 Sco,17:02:46.52,-34:40:28.4,,,,,,,,non-cv,,,,- ,,,1992-22*,,,,HV 10836,,,,,,,,,,,
Her,17:03:24.09,+32:09:53.2,0.00658,0.0039,0,0.00389,2001375,55,36,cv,,,,18.2s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J170324+320953,,,,,,,,,,,
V601 Sco,17:04:05.34,-36:43:33.8,,,,,,349,3,ug:,,,,15.0p-<16.5p,ICRS,,1982-03,1982-03,,,HV 10840,,,,,,,,,,,
V1326 Oph,17:05:02.3,-18:59:29.3,,,,,,3,13,UG,,,,17.9p-<20.2p,1967-10,,T00000,A9999-99*,,,Plaut 2-202,,,,,,,,,,,
Her,17:05:42.54,+31:32:40.7,-0.01964,0.0039,-0.00684,0.00389,2001389,54,35,cv,,,,19.7s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J170542+313240,,,,,,,,,,,
Her,17:06:06.12,+25:51:53.3,,,,,,47,-34,cv,,,,16.5c-<19.5c,2003-47,,2003-48,A9999-99*,2003-47S:,,,,,,,,,,,,,
V992 Sco,17:07:17.44,-43:15:21.6,-12,3,12,18,2000,344,-2,na,0.15358,1992.39,,8.3p-17.2V,2003-115,2003-115,1992-14,1995-20*,1992-14X,2003-07,,Y,,,,,,,,,,
V455 Sco,17:07:21.71,-34:05:14.2,,,,,,,,non-cv,,,,- ,,,T00000*,,,,HV 7869,,,,,,,,,,,
FQ Sco,17:08:04.49,-32:42:01.8,,,,,,352,5,ugSS,,,,12.0B-18.5B,ICRS,,1982-03/T00000,1982-03*,1982-03S:,,HV 4389,,,,,,,,,,,
V2051 Oph,17:08:19.09,-25:48:30.8,-16,11,-0.04,12,2000,358,8,ugsu,0.062428,,,13.0v-17.5v,2003-115,2003-115,1997-27,1982-03,1983-12S,2003-109,,Y,Y,,,,,Y,,,,
V2101 Oph,17:09:38.05,-27:18:56.2,,,,,,,,non-cv,,,,- ,,,1992-22*,,,,BV 1694,,,,,,,,,,,
Dra,17:11:20.48,+56:35:34.1,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1710+567,,,,,,,,,,,
V1548 Oph,17:11:26.,-16:20:19.,,,,,,,,non-ex?,,,,-,,,2000-102*,,,,Plaut 2-429,,,,,,,,,,,
Her,17:11:45.08,+30:13:20.1,-0.00097,0.0039,-0.01425,0.00389,2001389,53,34,cv,,,,20.3s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J171145+301320,,,,,,,,,,,
V2214 Oph,17:12:01.58,-29:37:33.3,,,,,,355,6,nb/am,0.117515,1988.28,,8.5p-20.5j,1988-15,,1993-05,1993-05,1993-05X,1993-05,,,Y,,,,,,,,,
V2400 Oph,17:12:36.43,-24:14:44.7,-0.0027,5,0.0056,5,2000,0,9,dq,,,,14.2V-14.6V,2004-105,2004-105,1995-13,1995-13,1995-13S,*,Oph3,RX J1712.6-2414,,,,,,,Y,,Y,
Dra,17:12:47.71,+60:46:03.3,0.00397,0.0039,-0.02757,0.00389,2000257,90,35,cv,,,,20.0s-,2006-22,2006-22,2002-05,A9999-99*,2002-05S,,SDSSp J171247+604603,,,,,,,,,,,
V1186 Sco,17:12:51.28,-30:56:37.6,,,,,,354,5,nb,,2004.51,,10.9V-,2004-46,,2004-47,A9999-99*,2004-47X:,*,ASAS 171251-3056.6,,,,,,,,,,,
V795 Her,17:12:56.17,+33:31:19.2,0.0042,0.0017,-0.0216,0.0035,2000,57,34,dq,0.108247,,,12.5B-13.2B,2004-105,2004-105,1990-30,1982-06,1986-05S,1990-30,PG 1711+336,Y,Y,,,,Y,Y,,,,
UMi,17:13:06.,+83:18:45.,,,,,,116,30,n:,,1976.,,13.5v-21v,1996-18,,1996-18*,A9999-99*,1996-18X:,,FBS 1719+834,,,,,,,,,,,
Her4,17:13:50.33,+49:16:10.9,,,,,,,,non-cv,,,,- ,,,1983-19*,,,,PG 1712+493,,,,,,,,,,,
V499 Ara,17:14:39.36,-58:53:51.1,,,,,,332,-11,ug,,,,14.8p-<16.2p,ICRS,,1982-03,1982-03,,,S 6115,,,,,,,,,,,
V360 Her,17:16:38.04,+24:26:47.3,,,,,,,,non-ex,,,,- ,,,2000-102*,,,,,,,,,,,,,,,
V877 Ara,17:16:53.89,-65:32:51.5,,,,,,326,-16,ugsu,,,,13.5p-20.3r,ICRS,,2003-11,2003-11*,,*,NSV 8383,,,,,,,,,,,
Her,17:17:06.56,+43:08:24.4,,,,,,68,35,cv:,,,G,22.6U- ,2000-16,,2000-16*,A9999-99,,,NGC 6341-8203,,Y,,,,,,,,,
V825 Her,17:18:37.00,+41:15:51.2,-0.0065,0.0056,0.0068,0.0056,2000,66,34,ux,206,,,14.1V-14.4V,2004-105,2004-105,1994-49,1982-06,1984-10S,2003-108,PG 1717+413,Y,Y,,Y,,Y,,,,,
V2573 Oph,17:19:14.09,-27:22:35.2,,,,,,339,6,n,,2003.48,,10.6V-,2003-57,,2003-56,2003-66*,2003-66X,,Nova Oph 2003,,,,,,,,,,,
V2264 Oph,17:20:20.83,-26:46:26.3,,,,,,359,6,na,,1991.28,,9.9v-<21p,1991-18,,1991-07,A9999-99*,1991-07X,,,,,,,,,,,,,
V478 Her,17:21:05.60,+23:39:36.8,,,,,,46,30,ugsu,,,,15.5p-17.1p,ICRS,,2001-26,1957-09,1999-08S,,S 4133,,,,,,,,,,,
V729 Sco,17:22:02.66,-32:05:48.8,,,,,,355,2,n or m,,1936.,,14.0p-22j,C00002,,1987-08,1987-08:,,,,,,,,,,,,,,
V2527 Oph,17:22:04.37,-19:49:08.5,,,,,,5,9,ugsu,,,,14.4c-19.c,2003-53*,,2004-54,1990-08*,1990-08S,,Oph2/1E1719.5-1946,,,,,Y,,,,,,
Her,17:22:43.95,+27:23:55.5,0.00381,0.0039,0.00063,0.00389,2001288,50,31,cv,,,,20.6B-,2006-22,2006-22,2002-117,2002-117,2002-117S,,FSVS J1722+2723,,,,,,,,,,,
DT Aps,17:22:47.74,-75:09:56.6,,,,,,318,-20,ugss,,,,14.4p-<15.8p,ICRS,,1982-03,1982-03,,,S 5646,,,,,,,,,,,
RY Ser,17:23:07.18,-12:48:09.8,-4,0.0076,-0.0019,0.0082,2000,11,13,ug,0.3009,,,14.1B-18.0B,2004-105,2004-105,1998-34,1998-34*,2004-01S,2004-01,Ross 19,,,,,,,,,,,
V1007 Her,17:24:06.28,+41:14:08.0,6,4,-24,2,2000,66,33,am,0.083284,,,17.6V- ,2003-115,2003-115,1998-07,1998-07,1998-07S,1998-07,RX J1724.0+4114,,,,,,,Y,,,,
V2109 Oph,17:24:15.93,-24:36:50.2,,,,,,1,6,n,,1969.,,10.8r-18j,C00002,,1987-08,1987-08:*,,,,,,,,,,,,,,
BB Oph,17:24:30.02,-24:48:06.1,,,,,,1,6,n:,,1897.,,11.3p-19j,C00002,,1987-08,1987-08,,,HV 3985,,,,,,,,,,,
V2295 Oph,17:25:06.41,-23:11:11.1,,,,,,2,7,na,,1993.28,,9.0V-<21.V,1993-17,,1993-42,A9999-99*,1993-42X:,,,,,,,,,,,,,
V478 Sco,17:25:58.54,-35:32:31.8,,,,,,352,0,ug,,,,14.0B-16.7B,ICRS,,1982-03,1982-03,1996-01S,,HV 7898,,,,,,,,,,,
Dra,17:26:01.96,+54:32:30.8,0.00048,0.0039,0.02134,0.00389,2000257,82,34,cv,,,,20.5s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J172601+543230,,,,,,,,,,,
V902 Sco,17:26:08.3,-39:04:05.0,,,,,,349,-2,nb,,1949.39,,11p-20.0j,C00003,,1987-08,1987-08:*,1951-01X:,,He 3-1401,,,,,,,,,,,
V906 Oph,17:26:09.7,-21:54:28.,,,,,,4,7,na,,1952.,,8.4 -<13p,1994-24,,1987-08,1987-08:*,1954-01X:,,,,,,,,,,,,,
Sco,17:26:28.89,-39:43:07.9,,,,,,349,-2,ug:,,,,-,2003-09,,2003-09,,,,Bul_sc47_680,,,,,,,,,,,
Sco,17:27:02.76,-40:09:12.1,,,,,,348,-3,ugsu:,,,,17.8I-21.3I,2003-09,,2003-09,2003-09,,,Bul_sc47_70,,,,,,,,,,,
V809 Her,17:27:27.66,+45:30:39.9,,,,,,,,non-cv,,,,- ,,,1977-07*,,,,S 10875,,,,,,,,,,,
V908 Oph,17:27:51.,-27:45: ,,,,,,359,4,n,,1954.,,11.5p-<14p,C00003,,1987-08,1987-08:*,1987-08X:,,,,,,,,,,,,,
Sco,17:29:07.69,-40:05:21.4,,,,,,349,-3,ug:,,,,18.6I-21.3I,2003-09,,2003-09,,,,Bul_sc49_614,,,,,,,,,,,
V1187 Sco,17:29:18.81,-31:46:01.5,,,,,,356,1,n,,2004.59,,7.4c-,2004-53,,2004-53,A9999-99*,2004-53X:,,Nova Sco 2004 No. 2,,,,,,,,,,,
Sco,17:29:29.75,-40:01:09.9,,,,,,349,-3,ug,,,,17.7I-20.5I,2003-09,,2003-09,2003-09,,,Bul_sc49_672,,,,,,,,,,,
Sco,17:29:31.98,-40:20:48.6,,,,,,349,-3,ug,,,,18.9I-20.4I,2003-09,,2003-09,2003-09,,,Bul_sc49_332,,,,,,,,,,,
UMi,17:29:34.,+82:26:48.,,,,,,115,30,n/nl:,,1976.,,14v-21v,1996-18,,1996-18*,A9999-99*,,,FBS 1735+825,,,,,,,,,,,
Dra,17:30:08.36,+62:47:54.5,-0.00408,0.0039,-0.0107,0.00389,2000262,92,33,ugsu,0.07653,,,15.9s-,2006-22,2006-22,2001-74,A9999-99,2002-05S,2002-19,SDSSp J173008+624754,,Y,,,,,Y,,,,
Oph,17:30:21.90,-05:59:32.1,,,,,,18,-15,dq,0.6425,,,16.3B-,2005-44,,2005-44,2005-44,2005-44S,2005-44,1RXS J173021-055933,,,,,,,Y,,,,
AT Ara,17:30:33.79,-46:05:58.1,,,,,,344,-6,ugSS,0.3755,,,11.5v-14.9v,ICRS,,1982-03/T00000,1982-03,2003-70S,2003-70,HV 6551,,,,,,,,,,,
MM Sco,17:30:45.23,-42:11:41.6,,,,,,347,-5,ugsu,,,,13.0B-18.5B,ICRS,,2002-75,1982-03*,2003-15S,*,HV 6553,,,,,,,,,,,
V1063 Oph,17:30:53.,+10:17:00.,,,,,,33,22,UG,,,,15.5p-<17.5p,C00001,,T00000,1967-02*,,,S 9807,,,,,,,,,,,
EK Aps,17:31:54.04,-67:42:51.6,,,,,,,,non-cv,,,,- ,,,1995-16*,,,,,,,,,,,,,,,
V2487 Oph,17:31:59.8,-19:13:56.,,,,,,7,8,na,,1998.45,,9.5p-17.7p,ICRS,,1998-08,1998-81,1998-08X:,,,,,,,,,,,,,
